idx,original_idx,sentenceId,text,start_ms_trimmed,end_ms_trimmed,duration_ms,exp_end_ms,obs_end_ms,drift_ms,drift_jump_ms,silence_width_ms,rms_db_at_end,contrast_db,confidence,weight
29,31,P0002_L0015_S0032,अवाध॒रात्ता᳚त्।,97600.0,100608.0,3008.0,99103.607,100608.0,1504.393,432.563,528.0,-32.2235,3.815,0.550005,79.52388
30,32,P0002_L0016_S0033,सर्वतो मां पाहि पाहि॑ सम॒न्तात्॥,100608.0,104320.0,3712.0,104952.007,104320.0,-632.007,-2136.4,496.0,-29.7408,2.3868,0.510049,180.58584
31,34,P0002_L0017_S0035,त्वं वाङ्मय॑स्त्वं चिन्म॒यः।,104320.0,108000.0,3680.0,108471.799,108000.0,-471.799,160.208,496.0,-27.7388,-7.6771,0.440393,108.68352
32,35,P0002_L0017_S0036,त्वमानन्दमय॑स्त्वं ब्रह्म॒मयः।,108000.0,111648.0,3648.0,112766.905,111648.0,-1118.905,-647.106,528.0,-30.365,1.9562,0.527104,132.62352
33,36,P0002_L0017_S0037,त्वं सच्चिदानन्दाऽद्वि॑तीयो॒ऽसि।,111648.0,115200.0,3552.0,117123.72,115200.0,-1923.72,-804.814,544.0,-30.226,-2.6047,0.508281,134.52894
34,37,P0002_L0018_S0038,त्वं प्र॒त्यक्षं॒ ब्रह्मा॑सि।,115200.0,120000.0,4800.0,119763.136,120000.0,236.864,2160.583,528.0,-28.7111,-4.2041,0.481413,81.49944
35,38,P0002_L0018_S0039,त्वं ज्ञानमयो विज्ञान॑मयो॒ऽसि॥,120000.0,123712.0,3712.0,124885.92,123712.0,-1173.92,-1410.784,480.0,-29.6963,4.464,0.513748,158.1804
36,40,P0002_L0019_S0041,सर्वं जगदिदं त्व॑त्तो जा॒यते।,123712.0,127776.0,4064.0,128544.757,127776.0,-768.757,405.163,512.0,-28.5758,5.6119,0.527772,112.97691
37,41,P0002_L0019_S0042,सर्वं जगदिदं त्व॑त्तस्ति॒ष्ठति।,127776.0,132128.0,4352.0,132178.489,132128.0,-50.489,718.268,576.0,-32.2274,5.3144,0.580747,112.20174
38,42,P0002_L0020_S0043,सर्वं जगदिदं त्वयि ल॑यमेष्य॒ति।,132128.0,135600.0,3472.0,136293.206,135600.0,-693.206,-642.717,576.0,-27.4941,-7.6615,0.476663,127.053495
39,43,P0002_L0020_S0044,सर्वं जगदिदं त्वयि॑ प्रत्ये॒ति।,135600.0,140000.0,4400.0,139920.083,140000.0,79.917,773.123,544.0,-26.9751,-9.1981,0.449444,111.99006
40,44,P0002_L0021_S0045,त्वं भूमिरापोऽनलोऽनि॑लो न॒भः।,140000.0,142000.0,2000.0,144558.577,142000.0,-2558.577,-2638.494,0.0,-18.5798,1.5236,0.226541,143.2266
41,45,P0002_L0021_S0046,त्वं चत्वारि वा᳚क्पदा॒नि॥,142000.0,144048.0,2048.0,148362.154,144048.0,-4314.154,-1755.577,560.0,-31.8188,5.2563,0.570265,117.446175
42,47,P0002_L0022_S0048,त्वं गु॒णत्र॑याती॒तः।,144048.0,148112.0,4064.0,150867.429,148112.0,-2755.429,1558.725,576.0,-32.155,4.0739,0.573489,77.35743
43,48,P0002_L0022_S0049,त्वं अवस्थात्र॑याती॒तः।,148112.0,152496.0,4384.0,153970.499,152496.0,-1474.499,1280.93,560.0,-31.2219,3.6453,0.557403,95.81604
44,49,P0002_L0022_S0050,त्वं दे॒हत्र॑याती॒तः।,152496.0,156800.0,4304.0,156349.73,156800.0,450.27,1924.768,576.0,-26.1042,-15.1069,0.426068,73.4655
45,50,P0003_L0001_S0001,त्वं का॒लत्र॑याती॒तः।,156800.0,160944.0,4144.0,159016.308,160944.0,1927.692,1477.422,560.0,-29.4884,4.2986,0.549364,82.33812
46,51,P0003_L0001_S0002,त्वं मूलाधारस्थितो॑ऽसि नि॒त्यम्।,160944.0,165200.0,4256.0,163988.673,165200.0,1211.327,-716.365,576.0,-31.5111,-3.0412,0.529788,153.5358
47,52,P0003_L0001_S0003,त्वं शक्तित्र॑यात्म॒कः।,165200.0,168400.0,3200.0,166843.417,168400.0,1556.583,345.256,512.0,-29.2503,2.8754,0.517066,88.14828
48,53,P0003_L0002_S0004,त्वां योगिनो ध्याय॑न्ति नि॒त्यम्।,168400.0,172400.0,4000.0,171419.021,172400.0,980.979,-575.603,528.0,-25.469,-9.5168,0.430083,141.28467
49,54,P0003_L0002_S0005,त्वं ब्रह्मा त्वं विष्णुस्त्वं रुद्रस्त्वमिन्द्रस्त्वमग्निस्त्वं,172400.0,175680.0,3280.0,176699.866,175680.0,-1019.866,-2000.845,544.0,-28.956,4.8922,0.541509,163.061
50,55,P0003_L0003_S0005,वायुस्त्वं सूर्यस्त्वं चन्द्रमास्त्वं ब्रह्म॒ भूर्भुवः॒ स्वरोम्॥,175680.0,179200.0,3520.0,185697.484,179200.0,-6497.484,-5477.618,544.0,-28.6652,-4.1118,0.489234,277.82685
51,57,P0003_L0004_S0007,ग॒णादिं᳚ पूर्व॑मुच्चा॒र्य॒ व॒र्णादिं᳚स्तदन॒न्तरम्।,179200.0,183648.0,4448.0,192076.635,183648.0,-8428.635,-1931.151,576.0,-32.1481,3.9712,0.57288,196.9743
52,58,P0003_L0004_S0008,अनुस्वारः प॑रत॒रः।,183648.0,187232.0,3584.0,194725.625,187232.0,-7493.625,935.01,608.0,-29.2447,4.8584,0.573337,81.79503
53,59,P0003_L0004_S0009,अर्धे᳚न्दुल॒सितम्।,187232.0,191712.0,4480.0,197614.936,191712.0,-5902.936,1590.689,672.0,-32.1536,5.3865,0.62443,89.21562
54,60,P0003_L0005_S0010,तारे॑ण ऋ॒द्धम्।,191712.0,196400.0,4688.0,200001.637,196400.0,-3601.637,2301.299,0.0,-17.8549,3.3915,0.230436,73.69614
55,61,P0003_L0005_S0011,एतत्तव मनु॑स्वरू॒पम्।,196400.0,198400.0,2000.0,203339.288,198400.0,-4939.288,-1337.651,0.0,-19.7723,-1.6172,0.219973,103.05939
56,62,P0003_L0005_S0012,गकारः पू᳚र्वरू॒पम्।,198400.0,204752.0,6352.0,206184.131,204752.0,-1432.131,3507.157,640.0,-31.2634,4.0882,0.597276,87.84255
57,63,P0003_L0005_S0013,अकारो मध्य॑मरू॒पम्।,204752.0,210800.0,6048.0,209588.5,210800.0,1211.5,2643.63,592.0,-28.5498,-8.3073,0.487836,105.11952
58,64,P0003_L0006_S0014,अनुस्वारश्चा᳚न्त्यरू॒पम्।,210800.0,214000.0,3200.0,213559.721,214000.0,440.279,-771.221,496.0,-24.595,-7.4367,0.420748,122.62266
59,65,P0003_L0006_S0015,बिन्दुरुत्त॑ररू॒पम्।,214000.0,217200.0,3200.0,216556.204,217200.0,643.796,203.517,560.0,-26.4633,-10.9266,0.443974,92.52486
60,66,P0003_L0006_S0016,नादः॑ सन्धा॒नम्।,217200.0,219600.0,2400.0,219296.913,219600.0,303.087,-340.709,528.0,-30.0088,-3.564,0.493812,84.62712
61,67,P0003_L0006_S0017,सꣳहि॑ता स॒न्धिः।,219600.0,222896.0,3296.0,221975.008,222896.0,920.992,617.905,528.0,-30.6137,4.3076,0.541884,82.69374
62,68,P0003_L0007_S0018,सैषा गणे॑शवि॒द्या।,222896.0,226800.0,3904.0,224416.154,226800.0,2383.846,1462.854,528.0,-26.9286,-11.0436,0.431437,75.37728
63,69,P0003_L0007_S0019,गण॑क ऋ॒षिः।,226800.0,230000.0,3200.0,226390.927,230000.0,3609.073,1225.227,528.0,-26.9542,-9.0035,0.442845,60.97668
64,70,P0003_L0007_S0020,निचृद्गाय॑त्रीच्छ॒न्दः।,230000.0,234160.0,4160.0,229439.253,234160.0,4720.747,1111.674,576.0,-31.1383,5.6659,0.57544,94.12566
65,71,P0003_L0008_S0021,गणपति॑र्देव॒ता।,234160.0,237072.0,2912.0,231707.654,237072.0,5364.346,643.599,544.0,-30.8948,1.8166,0.537505,70.04328
66,72,P0003_L0008_S0022,ॐ गं ग॒णप॑तये नमः॥,237072.0,239760.0,2688.0,235229.27,239760.0,4530.73,-833.617,496.0,-32.3201,3.5102,0.533827,108.739856
