idx,mapping_original_idx,sentenceId,start_ms_trimmed,end_ms_trimmed,duration_ms,weight,confidence,text
0,0,P0002_L0004_S0001,0.0,4400.0,4400.0,135.09154800000002,0.840831,ॐ भ॒द्रं कर्णे॑भिः श‍ृणु॒याम॑ देवाः।
1,1,P0002_L0004_S0002,4400.0,9200.0,4800.0,117.76091999999998,0.442923,भ॒द्रं प॑श्येमा॒क्षभि॒र्यज॑त्राः।
2,2,P0002_L0005_S0003,9200.0,14000.0,4800.0,145.59966,0.459967,स्थि॒रैरङ्गै᳚स्तुष्टु॒वाꣳ स॑स्त॒नूभिः॑।
3,3,P0002_L0005_S0004,14000.0,16400.0,2400.0,107.9781,0.211356,व्यशे॑म दे॒वहि॑तं॒ यदायुः॑।
4,4,P0002_L0006_S0005,16400.0,19600.0,3200.0,114.7884,0.446719,स्व॒स्ति न॒ इन्द्रो॑ वृ॒द्धश्र॑वाः।
5,5,P0002_L0006_S0006,19600.0,23280.0,3680.0,118.06728000000001,0.571766,स्व॒स्ति नः॑ पू॒षा वि॒श्ववे॑दाः।
6,6,P0002_L0007_S0007,23280.0,27376.0,4096.0,139.55249999999998,0.531448,स्व॒स्ति न॒स्तार्क्ष्यो॒ अरि॑ष्टनेमिः।
7,7,P0002_L0007_S0008,27376.0,31664.0,4288.0,153.50257499999998,0.543355,स्व॒स्ति नो॒ बृह॒स्पति॑र्दधातु॥
8,8,P0002_L0008_S0009,31664.0,36448.0,4784.0,158.86666875000003,0.563665,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥
9,9,P0002_L0009_S0010,36448.0,40400.0,3952.0,93.00852,0.475858,ॐ नम॑स्ते ग॒णप॑तये।
10,10,P0002_L0009_S0011,40400.0,45600.0,5200.0,111.60888,0.502484,त्वमे॒व प्र॒त्यक्षं॒ तत्त्व॑मसि।
11,11,P0002_L0010_S0012,45600.0,49600.0,4000.0,100.79328000000001,0.420368,त्वमे॒व के ॒वलं ॒ कर्ता॑ऽसि।
12,12,P0002_L0010_S0013,49600.0,53600.0,4000.0,99.55008,0.451535,त्वमे॒व के ॒वलं ॒ धर्ता॑ऽसि।
13,13,P0002_L0010_S0014,53600.0,57200.0,3600.0,98.37811200000003,0.43254,त्वमे॒व के ॒वलं ॒ हर्ता॑ऽसि।
14,14,P0002_L0011_S0015,57200.0,60800.0,3600.0,118.87349999999998,0.466771,त्वमेव सर्वं खल्विदं॑ ब्रह्मा॒सि।
15,15,P0002_L0011_S0016,60800.0,64400.0,3600.0,176.04675,0.449468,त्वं साक्षादात्मा॑ऽसि नि॒त्यम्॥
16,17,P0002_L0012_S0018,64400.0,68800.0,4400.0,51.17592,0.436911,ऋ॑तं व॒च्मि।
17,18,P0002_L0012_S0019,68800.0,72656.0,3856.0,68.16855,0.527196,स॑त्यं व॒च्मि॥
18,20,P0002_L0013_S0021,72656.0,74656.0,2000.0,64.93212000000001,0.455469,अ॒व त्वं॒ माम्।
19,21,P0002_L0013_S0022,74656.0,76800.0,2144.0,66.07302,0.468509,अव॑ व॒क्तारम्᳚।
20,22,P0002_L0013_S0023,76800.0,79200.0,2400.0,68.67432,0.448414,अव॑ श्रो॒तारम्᳚।
21,23,P0002_L0013_S0024,79200.0,82016.0,2816.0,66.0192,0.484982,अव॑ दा॒तारम्᳚।
22,24,P0002_L0013_S0025,82016.0,84960.0,2944.0,67.48476,0.502987,अव॑ धा॒तारम्᳚।
23,25,P0002_L0014_S0026,84960.0,87776.0,2816.0,123.83015999999998,0.488809,अवानूचानम॑व शि॒ष्यम्।
24,26,P0002_L0014_S0027,87776.0,90800.0,3024.0,78.80765999999998,0.38905,अव॑ प॒श्चात्ता᳚त्।
25,27,P0002_L0014_S0028,90800.0,94128.0,3328.0,75.05129999999998,0.479983,अव॑ पु॒रस्ता᳚त्।
26,28,P0002_L0014_S0029,94128.0,97600.0,3472.0,80.94527999999998,0.517036,अवोत्त॒रात्ता᳚त्।
27,29,P0002_L0015_S0030,97600.0,100800.0,3200.0,91.84589999999999,0.371912,अव॑ दक्षि॒णात्ता᳚त्।
28,30,P0002_L0015_S0031,100800.0,104352.0,3552.0,88.10471999999999,0.502646,अव॑ चो॒र्ध्वात्ता᳚त्।
29,31,P0002_L0015_S0032,104352.0,108000.0,3648.0,79.52387999999999,0.45864,अवाध॒रात्ता᳚त्।
30,32,P0002_L0016_S0033,108000.0,111680.0,3680.0,180.58584000000002,0.520647,सर्वतो मां पाहि पाहि॑ सम॒न्तात्॥
31,34,P0002_L0017_S0035,111680.0,115200.0,3520.0,108.68352,0.519256,त्वं वाङ्मय॑स्त्वं चिन्म॒यः।
32,35,P0002_L0017_S0036,115200.0,120000.0,4800.0,132.62351999999998,0.483754,त्वमानन्दमय॑स्त्वं ब्रह्म॒मयः।
33,36,P0002_L0017_S0037,120000.0,123744.0,3744.0,134.52894,0.507271,त्वं सच्चिदानन्दाऽद्वि॑तीयो॒ऽसि।
34,37,P0002_L0018_S0038,123744.0,128000.0,4256.0,81.49944,0.369901,त्वं प्र॒त्यक्षं॒ ब्रह्मा॑सि।
35,38,P0002_L0018_S0039,128000.0,132176.0,4176.0,158.1804,0.561332,त्वं ज्ञानमयो विज्ञान॑मयो॒ऽसि॥
36,40,P0002_L0019_S0041,132176.0,135600.0,3424.0,112.97690999999998,0.479409,सर्वं जगदिदं त्व॑त्तो जा॒यते।
37,41,P0002_L0019_S0042,135600.0,140000.0,4400.0,112.20174,0.459205,सर्वं जगदिदं त्व॑त्तस्ति॒ष्ठति।
38,42,P0002_L0020_S0043,140000.0,144080.0,4080.0,127.053495,0.559531,सर्वं जगदिदं त्वयि ल॑यमेष्य॒ति।
39,43,P0002_L0020_S0044,144080.0,148144.0,4064.0,111.99006,0.570602,सर्वं जगदिदं त्वयि॑ प्रत्ये॒ति।
40,44,P0002_L0021_S0045,148144.0,152528.0,4384.0,143.2266,0.561584,त्वं भूमिरापोऽनलोऽनि॑लो न॒भः।
41,45,P0002_L0021_S0046,152528.0,156800.0,4272.0,117.44617500000001,0.42615,त्वं चत्वारि वा᳚क्पदा॒नि॥
42,47,P0002_L0022_S0048,156800.0,160976.0,4176.0,77.35743,0.537536,त्वं गु॒णत्र॑याती॒तः।
43,48,P0002_L0022_S0049,160976.0,165184.0,4208.0,95.81604,0.551633,त्वं अवस्थात्र॑याती॒तः।
44,49,P0002_L0022_S0050,165184.0,168432.0,3248.0,73.46549999999999,0.502337,त्वं दे॒हत्र॑याती॒तः।
45,50,P0003_L0001_S0001,168432.0,172400.0,3968.0,82.33811999999999,0.439598,त्वं का॒लत्र॑याती॒तः।
46,51,P0003_L0001_S0002,172400.0,175728.0,3328.0,153.53580000000002,0.528869,त्वं मूलाधारस्थितो॑ऽसि नि॒त्यम्।
47,52,P0003_L0001_S0003,175728.0,179200.0,3472.0,88.14827999999999,0.506877,त्वं शक्तित्र॑यात्म॒कः।
48,53,P0003_L0002_S0004,179200.0,183696.0,4496.0,141.28466999999998,0.55133,त्वां योगिनो ध्याय॑न्ति नि॒त्यम्।
49,54,P0003_L0002_S0005,183696.0,187280.0,3584.0,163.061,0.555687,त्वं ब्रह्मा त्वं विष्णुस्त्वं रुद्रस्त्वमिन्द्रस्त्वमग्निस्त्वं
50,55,P0003_L0003_S0005,187280.0,191760.0,4480.0,277.82685000000004,0.604078,वायुस्त्वं सूर्यस्त्वं चन्द्रमास्त्वं ब्रह्म॒ भूर्भुवः॒ स्वरोम्॥
51,57,P0003_L0004_S0007,191760.0,198400.0,6640.0,196.9743,0.228823,ग॒णादिं᳚ पूर्व॑मुच्चा॒र्य॒ व॒र्णादिं᳚स्तदन॒न्तरम्।
52,58,P0003_L0004_S0008,198400.0,204800.0,6400.0,81.79503,0.579891,अनुस्वारः प॑रत॒रः।
53,59,P0003_L0004_S0009,204800.0,210800.0,6000.0,89.21562,0.494744,अर्धे᳚न्दुल॒सितम्।
54,60,P0003_L0005_S0010,210800.0,214000.0,3200.0,73.69613999999999,0.41788,तारे॑ण ऋ॒द्धम्।
