idx,mapping_original_idx,sentenceId,start_ms_trimmed,end_ms_trimmed,duration_ms,weight,confidence,text
44,49,P0002_L0022_S0050,152496.0,156800.0,4304.0,73.46549999999999,0.426068,त्वं दे॒हत्र॑याती॒तः।
45,50,P0003_L0001_S0001,156800.0,160944.0,4144.0,82.33811999999999,0.549364,त्वं का॒लत्र॑याती॒तः।
46,51,P0003_L0001_S0002,160944.0,165200.0,4256.0,153.53580000000002,0.529788,त्वं मूलाधारस्थितो॑ऽसि नि॒त्यम्।
47,52,P0003_L0001_S0003,165200.0,168400.0,3200.0,88.14827999999999,0.517066,त्वं शक्तित्र॑यात्म॒कः।
48,53,P0003_L0002_S0004,168400.0,172400.0,4000.0,141.28466999999998,0.430083,त्वां योगिनो ध्याय॑न्ति नि॒त्यम्।
49,54,P0003_L0002_S0005,172400.0,175680.0,3280.0,163.061,0.541509,त्वं ब्रह्मा त्वं विष्णुस्त्वं रुद्रस्त्वमिन्द्रस्त्वमग्निस्त्वं
50,55,P0003_L0003_S0005,175680.0,179200.0,3520.0,277.82685000000004,0.489234,वायुस्त्वं सूर्यस्त्वं चन्द्रमास्त्वं ब्रह्म॒ भूर्भुवः॒ स्वरोम्॥
51,57,P0003_L0004_S0007,179200.0,183648.0,4448.0,196.9743,0.57288,ग॒णादिं᳚ पूर्व॑मुच्चा॒र्य॒ व॒र्णादिं᳚स्तदन॒न्तरम्।
52,58,P0003_L0004_S0008,183648.0,187232.0,3584.0,81.79503,0.573337,अनुस्वारः प॑रत॒रः।
53,59,P0003_L0004_S0009,187232.0,191712.0,4480.0,89.21562,0.62443,अर्धे᳚न्दुल॒सितम्।
54,60,P0003_L0005_S0010,191712.0,196400.0,4688.0,73.69613999999999,0.230436,तारे॑ण ऋ॒द्धम्।
55,61,P0003_L0005_S0011,196400.0,198400.0,2000.0,103.05938999999998,0.219973,एतत्तव मनु॑स्वरू॒पम्।
56,62,P0003_L0005_S0012,198400.0,204752.0,6352.0,87.84254999999999,0.597276,गकारः पू᳚र्वरू॒पम्।
57,63,P0003_L0005_S0013,204752.0,210800.0,6048.0,105.11952,0.487836,अकारो मध्य॑मरू॒पम्।
58,64,P0003_L0006_S0014,210800.0,214000.0,3200.0,122.62265999999998,0.420748,अनुस्वारश्चा᳚न्त्यरू॒पम्।
59,65,P0003_L0006_S0015,214000.0,217200.0,3200.0,92.52485999999998,0.443974,बिन्दुरुत्त॑ररू॒पम्।
60,66,P0003_L0006_S0016,217200.0,219600.0,2400.0,84.62711999999999,0.493812,नादः॑ सन्धा॒नम्।
