idx,original_idx,sentenceId,text,start_ms_trimmed,end_ms_trimmed,duration_ms,exp_end_ms,obs_end_ms,drift_ms,drift_jump_ms,silence_width_ms,rms_db_at_end,contrast_db,confidence,weight
0,0,P0002_L0004_S0001,ॐ भ॒द्रं कर्णे॑भिः श‍ृणु॒याम॑ देवाः।,0.0,4400.0,4400.0,4374.902,4400.0,25.098,25.098,1855.999,-33.8913,-2.503,0.925735,135.091548
1,1,P0002_L0004_S0002,भ॒द्रं प॑श्येमा॒क्षभि॒र्यज॑त्राः।,4400.0,9200.0,4800.0,8188.556,9200.0,1011.444,986.346,560.0,-25.2577,-9.05,0.430682,117.76092
2,2,P0002_L0005_S0003,स्थि॒रैरङ्गै᳚स्तुष्टु॒वाꣳ स॑स्त॒नूभिः॑।,9200.0,14000.0,4800.0,12903.76,14000.0,1096.24,84.796,624.0,-24.6638,-14.6903,0.425879,145.59966
3,3,P0002_L0005_S0004,व्यशे॑म दे॒वहि॑तं॒ यदायुः॑।,14000.0,16000.0,2000.0,16400.601,16000.0,-400.601,-1496.84,0.0,-18.0289,1.6059,0.21565,107.9781
4,4,P0002_L0006_S0005,स्व॒स्ति न॒ इन्द्रो॑ वृ॒द्धश्र॑वाः।,16000.0,19360.0,3360.0,20117.991,19360.0,-757.991,-357.39,656.0,-32.3861,4.6737,0.597396,114.7884
5,5,P0002_L0006_S0006,स्व॒स्ति नः॑ पू॒षा वि॒श्ववे॑दाः।,19360.0,23440.0,4080.0,23941.567,23440.0,-501.567,256.424,1040.0,-25.5298,-13.1596,0.630931,118.06728
6,6,P0002_L0007_S0007,स्व॒स्ति न॒स्तार्क्ष्यो॒ अरि॑ष्टनेमिः।,23440.0,27328.0,3888.0,28460.935,27328.0,-1132.935,-631.369,560.0,-30.6436,3.3632,0.534674,139.5525
7,7,P0002_L0007_S0008,स्व॒स्ति नो॒ बृह॒स्पति॑र्दधातु॥,27328.0,31600.0,4272.0,33432.073,31600.0,-1832.073,-699.138,576.0,-29.56,5.4256,0.545926,153.502575
8,8,P0002_L0008_S0009,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥,31600.0,36400.0,4800.0,38576.925,36400.0,-2176.925,-344.852,1040.0,-31.8337,2.012,0.738747,158.866669
9,9,P0002_L0009_S0010,ॐ नम॑स्ते ग॒णप॑तये।,36400.0,40400.0,4000.0,41588.98,40400.0,-1188.98,987.945,672.0,-25.6587,-12.5245,0.466426,93.00852
10,10,P0002_L0009_S0011,त्वमे॒व प्र॒त्यक्षं॒ तत्त्व॑मसि।,40400.0,45600.0,5200.0,45203.402,45600.0,396.598,1585.578,688.0,-28.3169,-12.8972,0.489982,111.60888
11,11,P0002_L0010_S0012,त्वमे॒व के ॒वलं ॒ कर्ता॑ऽसि।,45600.0,49600.0,4000.0,48467.564,49600.0,1132.436,735.838,656.0,-25.4665,-14.5158,0.446924,100.79328
12,12,P0002_L0010_S0013,त्वमे॒व के ॒वलं ॒ धर्ता॑ऽसि।,49600.0,52000.0,2400.0,51691.466,52000.0,308.534,-823.901,272.0,-19.6687,-0.0735,0.315519,99.55008
13,13,P0002_L0010_S0014,त्वमे॒व के ॒वलं ॒ हर्ता॑ऽसि।,52000.0,53600.0,1600.0,54877.413,53600.0,-1277.413,-1585.948,608.0,-25.3937,-15.4441,0.419433,98.378112
14,14,P0002_L0011_S0015,त्वमेव सर्वं खल्विदं॑ ब्रह्मा॒सि।,53600.0,55600.0,2000.0,58727.098,55600.0,-3127.098,-1849.685,0.0,-19.0227,1.15,0.218575,118.8735
15,15,P0002_L0011_S0016,त्वं साक्षादात्मा॑ऽसि नि॒त्यम्॥,55600.0,57200.0,1600.0,64428.323,57200.0,-7228.323,-4101.225,560.0,-25.5238,-12.9807,0.411552,176.04675
16,17,P0002_L0012_S0018,ऋ॑तं व॒च्मि।,57200.0,59200.0,2000.0,66085.641,59200.0,-6885.641,342.682,0.0,-19.8336,3.9625,0.233175,51.17592
17,18,P0002_L0012_S0019,स॑त्यं व॒च्मि॥,59200.0,60800.0,1600.0,68293.26,60800.0,-7493.26,-607.619,576.0,-27.2664,-12.5587,0.432707,68.16855
