idx,original_idx,sentenceId,text,start_ms_trimmed,end_ms_trimmed,duration_ms,exp_end_ms,obs_end_ms,drift_ms,drift_jump_ms,silence_width_ms,rms_db_at_end,contrast_db,confidence,weight
0,0,P0002_L0004_S0001,ॐ भ॒द्रं कर्णे॑भिः श‍ृणु॒याम॑ देवाः।,0.0,4400.0,4400.0,4375.301,4400.0,24.699,24.699,1248.0,-34.2518,-0.7541,0.840831,135.091548
1,1,P0002_L0004_S0002,भ॒द्रं प॑श्येमा॒क्षभि॒र्यज॑त्राः।,4400.0,9200.0,4800.0,8189.303,9200.0,1010.697,985.998,480.0,-26.8865,-5.264,0.442923,117.76092
2,2,P0002_L0005_S0003,स्थि॒रैरङ्गै᳚स्तुष्टु॒वाꣳ स॑स्त॒नूभिः॑।,9200.0,14000.0,4800.0,12904.937,14000.0,1095.063,84.366,576.0,-26.8379,-10.2735,0.459967,145.59966
3,3,P0002_L0005_S0004,व्यशे॑म दे॒वहि॑तं॒ यदायुः॑।,14000.0,16400.0,2400.0,16402.096,16400.0,-2.096,-1097.159,0.0,-19.2596,-0.9714,0.211356,107.9781
4,4,P0002_L0006_S0005,स्व॒स्ति न॒ इन्द्रो॑ वृ॒द्धश्र॑वाः।,16400.0,19600.0,3200.0,20119.826,19600.0,-519.826,-517.729,576.0,-27.4961,-13.1075,0.446719,114.7884
5,5,P0002_L0006_S0006,स्व॒स्ति नः॑ पू॒षा वि॒श्ववे॑दाः।,19600.0,23280.0,3680.0,23943.75,23280.0,-663.75,-143.924,544.0,-31.3012,5.1972,0.571766,118.06728
6,6,P0002_L0007_S0007,स्व॒स्ति न॒स्तार्क्ष्यो॒ अरि॑ष्टनेमिः।,23280.0,27376.0,4096.0,28463.531,27376.0,-1087.531,-423.781,496.0,-30.6436,3.3632,0.531448,139.5525
7,7,P0002_L0007_S0008,स्व॒स्ति नो॒ बृह॒स्पति॑र्दधातु॥,27376.0,31664.0,4288.0,33435.122,31664.0,-1771.122,-683.591,528.0,-29.7941,3.5925,0.543355,153.502575
8,8,P0002_L0008_S0009,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥,31664.0,36448.0,4784.0,38580.444,36448.0,-2132.444,-361.322,560.0,-31.8337,2.012,0.563665,158.866669
9,9,P0002_L0009_S0010,ॐ नम॑स्ते ग॒णप॑तये।,36448.0,40400.0,3952.0,41592.773,40400.0,-1192.773,939.67,576.0,-27.7291,-8.727,0.475858,93.00852
10,10,P0002_L0009_S0011,त्वमे॒व प्र॒त्यक्षं॒ तत्त्व॑मसि।,40400.0,45600.0,5200.0,45207.525,45600.0,392.475,1585.248,592.0,-30.537,-8.8883,0.502484,111.60888
11,11,P0002_L0010_S0012,त्वमे॒व के ॒वलं ॒ कर्ता॑ऽसि।,45600.0,49600.0,4000.0,48471.985,49600.0,1128.015,735.54,480.0,-27.8523,-9.9564,0.420368,100.79328
12,12,P0002_L0010_S0013,त्वमे॒व के ॒वलं ॒ धर्ता॑ऽसि।,49600.0,53600.0,4000.0,51696.18,53600.0,1903.82,775.805,560.0,-27.6664,-11.2275,0.451535,99.55008
13,13,P0002_L0010_S0014,त्वमे॒व के ॒वलं ॒ हर्ता॑ऽसि।,53600.0,57200.0,3600.0,54882.418,57200.0,2317.582,413.762,496.0,-27.8223,-9.2539,0.43254,98.378112
14,14,P0002_L0011_S0015,त्वमेव सर्वं खल्विदं॑ ब्रह्मा॒सि।,57200.0,60800.0,3600.0,58732.454,60800.0,2067.546,-250.036,528.0,-29.6453,-8.3762,0.466771,118.8735
15,15,P0002_L0011_S0016,त्वं साक्षादात्मा॑ऽसि नि॒त्यम्॥,60800.0,64400.0,3600.0,64434.199,64400.0,-34.199,-2101.745,528.0,-26.9448,-8.1726,0.449468,176.04675
16,17,P0002_L0012_S0018,ऋ॑तं व॒च्मि।,64400.0,68800.0,4400.0,66091.668,68800.0,2708.332,2742.531,560.0,-26.6871,-12.4956,0.436911,51.17592
17,18,P0002_L0012_S0019,स॑त्यं व॒च्मि॥,68800.0,72656.0,3856.0,68299.488,72656.0,4356.512,1648.179,512.0,-29.7772,2.3407,0.527196,68.16855
18,20,P0002_L0013_S0021,अ॒व त्वं॒ माम्।,72656.0,74656.0,2000.0,70402.489,74656.0,4253.511,-103.0,400.0,-28.3048,1.6721,0.455469,64.93212
19,21,P0002_L0013_S0022,अव॑ व॒क्तारम्᳚।,74656.0,76800.0,2144.0,72542.44,76800.0,4257.56,4.049,432.0,-28.8309,0.5748,0.468509,66.07302
20,22,P0002_L0013_S0023,अव॑ श्रो॒तारम्᳚।,76800.0,79200.0,2400.0,74766.641,79200.0,4433.359,175.799,400.0,-28.466,0.3696,0.448414,68.67432
21,23,P0002_L0013_S0024,अव॑ दा॒तारम्᳚।,79200.0,82016.0,2816.0,76904.85,82016.0,5111.15,677.792,416.0,-29.4884,3.7616,0.484982,66.0192
22,24,P0002_L0013_S0025,अव॑ धा॒तारम्᳚।,82016.0,84960.0,2944.0,79090.524,84960.0,5869.476,758.326,448.0,-28.9473,4.6073,0.502987,67.48476
23,25,P0002_L0014_S0026,अवानूचानम॑व शि॒ष्यम्।,84960.0,87776.0,2816.0,83101.095,87776.0,4674.905,-1194.571,432.0,-29.5713,2.9791,0.488809,123.83016
24,26,P0002_L0014_S0027,अव॑ प॒श्चात्ता᳚त्।,87776.0,90800.0,3024.0,85653.491,90800.0,5146.509,471.603,464.0,-25.0054,-10.6796,0.38905,78.80766
25,27,P0002_L0014_S0028,अव॑ पु॒रस्ता᳚त्।,90800.0,94128.0,3328.0,88084.228,94128.0,6043.772,897.263,464.0,-28.0365,0.6697,0.479983,75.0513
26,28,P0002_L0014_S0029,अवोत्त॒रात्ता᳚त्।,94128.0,97600.0,3472.0,90705.857,97600.0,6894.143,850.371,496.0,-29.9589,1.8295,0.517036,80.94528
27,29,P0002_L0015_S0030,अव॑ दक्षि॒णात्ता᳚त्।,97600.0,100800.0,3200.0,93680.532,100800.0,7119.468,225.325,480.0,-26.2413,-16.2047,0.371912,91.8459
28,30,P0002_L0015_S0031,अव॑ चो॒र्ध्वात्ता᳚त्।,100800.0,104352.0,3552.0,96534.039,104352.0,7817.961,698.493,464.0,-29.7408,2.3868,0.502646,88.10472
29,31,P0002_L0015_S0032,अवाध॒रात्ता᳚त्।,104352.0,108000.0,3648.0,99109.633,108000.0,8890.367,1072.407,464.0,-29.0082,-3.7822,0.45864,79.52388
30,32,P0002_L0016_S0033,सर्वतो मां पाहि पाहि॑ सम॒न्तात्॥,108000.0,111680.0,3680.0,104958.388,111680.0,6721.612,-2168.755,496.0,-30.365,1.9562,0.520647,180.58584
31,34,P0002_L0017_S0035,त्वं वाङ्मय॑स्त्वं चिन्म॒यः।,111680.0,115200.0,3520.0,108478.394,115200.0,6721.606,-0.006,496.0,-30.8296,1.227,0.519256,108.68352
32,35,P0002_L0017_S0036,त्वमानन्दमय॑स्त्वं ब्रह्म॒मयः।,115200.0,120000.0,4800.0,112773.761,120000.0,7226.239,504.633,464.0,-29.6318,-0.4812,0.483754,132.62352
33,36,P0002_L0017_S0037,त्वं सच्चिदानन्दाऽद्वि॑तीयो॒ऽसि।,120000.0,123744.0,3744.0,117130.84,123744.0,6613.16,-613.079,448.0,-29.6963,4.464,0.507271,134.52894
34,37,P0002_L0018_S0038,त्वं प्र॒त्यक्षं॒ ब्रह्मा॑सि।,123744.0,128000.0,4256.0,119770.418,128000.0,8229.582,1616.423,480.0,-23.6412,-13.6966,0.369901,81.49944
35,38,P0002_L0018_S0039,त्वं ज्ञानमयो विज्ञान॑मयो॒ऽसि॥,128000.0,132176.0,4176.0,124893.513,132176.0,7282.487,-947.095,528.0,-32.6124,3.3785,0.561332,158.1804
36,40,P0002_L0019_S0041,सर्वं जगदिदं त्व॑त्तो जा॒यते।,132176.0,135600.0,3424.0,128552.572,135600.0,7047.428,-235.059,528.0,-28.6597,-5.2926,0.479409,112.97691
37,41,P0002_L0019_S0042,सर्वं जगदिदं त्व॑त्तस्ति॒ष्ठति।,135600.0,140000.0,4400.0,132186.525,140000.0,7813.475,766.047,512.0,-28.3406,-6.8524,0.459205,112.20174
38,42,P0002_L0020_S0043,सर्वं जगदिदं त्वयि ल॑यमेष्य॒ति।,140000.0,144080.0,4080.0,136301.492,144080.0,7778.508,-34.967,512.0,-31.8188,5.2563,0.559531,127.053495
39,43,P0002_L0020_S0044,सर्वं जगदिदं त्वयि॑ प्रत्ये॒ति।,144080.0,148144.0,4064.0,139928.589,148144.0,8215.411,436.903,544.0,-32.155,4.0739,0.570602,111.99006
40,44,P0002_L0021_S0045,त्वं भूमिरापोऽनलोऽनि॑लो न॒भः।,148144.0,152528.0,4384.0,144567.366,152528.0,7960.634,-254.776,544.0,-31.2219,3.6453,0.561584,143.2266
41,45,P0002_L0021_S0046,त्वं चत्वारि वा᳚क्पदा॒नि॥,152528.0,156800.0,4272.0,148371.174,156800.0,8428.826,468.192,528.0,-27.6551,-12.6958,0.42615,117.446175
42,47,P0002_L0022_S0048,त्वं गु॒णत्र॑याती॒तः।,156800.0,160976.0,4176.0,150876.601,160976.0,10099.399,1670.573,512.0,-29.4884,4.2986,0.537536,77.35743
43,48,P0002_L0022_S0049,त्वं अवस्थात्र॑याती॒तः।,160976.0,165184.0,4208.0,153979.86,165184.0,11204.14,1104.741,528.0,-31.7424,2.7786,0.551633,95.81604
44,49,P0002_L0022_S0050,त्वं दे॒हत्र॑याती॒तः।,165184.0,168432.0,3248.0,156359.236,168432.0,12072.764,868.623,464.0,-29.2503,2.8754,0.502337,73.4655
45,50,P0003_L0001_S0001,त्वं का॒लत्र॑याती॒तः।,168432.0,172400.0,3968.0,159025.976,172400.0,13374.024,1301.26,496.0,-26.656,-6.8416,0.439598,82.33812
46,51,P0003_L0001_S0002,त्वं मूलाधारस्थितो॑ऽसि नि॒त्यम्।,172400.0,175728.0,3328.0,163998.643,175728.0,11729.357,-1644.667,512.0,-29.2812,3.1495,0.528869,153.5358
47,52,P0003_L0001_S0003,त्वं शक्तित्र॑यात्म॒कः।,175728.0,179200.0,3472.0,166853.561,179200.0,12346.439,617.082,512.0,-29.4328,-0.4983,0.506877,88.14828
48,53,P0003_L0002_S0004,त्वां योगिनो ध्याय॑न्ति नि॒त्यम्।,179200.0,183696.0,4496.0,171429.443,183696.0,12266.557,-79.882,528.0,-32.3844,2.0269,0.55133,141.28467
49,54,P0003_L0002_S0005,त्वं ब्रह्मा त्वं विष्णुस्त्वं रुद्रस्त्वमिन्द्रस्त्वमग्निस्त्वं,183696.0,187280.0,3584.0,176710.609,187280.0,10569.391,-1697.166,560.0,-29.5301,3.2565,0.555687,163.061
50,55,P0003_L0003_S0005,वायुस्त्वं सूर्यस्त्वं चन्द्रमास्त्वं ब्रह्म॒ भूर्भुवः॒ स्वरोम्॥,187280.0,191760.0,4480.0,185708.774,191760.0,6051.226,-4518.165,608.0,-32.3973,4.0809,0.604078,277.82685
51,57,P0003_L0004_S0007,ग॒णादिं᳚ पूर्व॑मुच्चा॒र्य॒ व॒र्णादिं᳚स्तदन॒न्तरम्।,191760.0,198400.0,6640.0,192088.313,198400.0,6311.687,260.461,0.0,-20.1532,2.0729,0.228823,196.9743
52,58,P0003_L0004_S0008,अनुस्वारः प॑रत॒रः।,198400.0,204800.0,6400.0,194737.464,204800.0,10062.536,3750.849,592.0,-31.3628,2.553,0.579891,81.79503
53,59,P0003_L0004_S0009,अर्धे᳚न्दुल॒सितम्।,204800.0,210800.0,6000.0,197626.95,210800.0,13173.05,3110.514,544.0,-29.8956,-5.5178,0.494744,89.21562
54,60,P0003_L0005_S0010,तारे॑ण ऋ॒द्धम्।,210800.0,214000.0,3200.0,200013.797,214000.0,13986.203,813.154,448.0,-25.6011,-5.2996,0.41788,73.69614
55,61,P0003_L0005_S0011,एतत्तव मनु॑स्वरू॒पम्।,214000.0,217200.0,3200.0,203351.65,217200.0,13848.35,-137.854,512.0,-27.8133,-8.1356,0.447536,103.05939
56,62,P0003_L0005_S0012,गकारः पू᳚र्वरू॒पम्।,217200.0,219600.0,2400.0,206196.666,219600.0,13403.334,-445.016,496.0,-30.7236,0.4244,0.513451,87.84255
57,63,P0003_L0005_S0013,अकारो मध्य॑मरू॒पम्।,219600.0,222928.0,3328.0,209601.243,222928.0,13326.757,-76.577,496.0,-30.6137,4.3076,0.537188,105.11952
58,64,P0003_L0006_S0014,अनुस्वारश्चा᳚न्त्यरू॒पम्।,222928.0,226800.0,3872.0,213572.705,226800.0,13227.295,-99.463,496.0,-28.214,-8.3458,0.440862,122.62266
59,65,P0003_L0006_S0015,बिन्दुरुत्त॑ररू॒पम्।,226800.0,230000.0,3200.0,216569.37,230000.0,13430.63,203.335,496.0,-28.2353,-5.7621,0.457181,92.52486
60,66,P0003_L0006_S0016,नादः॑ सन्धा॒नम्।,230000.0,234400.0,4400.0,219310.246,234400.0,15089.754,1659.125,528.0,-25.7294,-13.4842,0.408321,84.62712
61,67,P0003_L0006_S0017,सꣳहि॑ता स॒न्धिः।,234400.0,237104.0,2704.0,221988.503,237104.0,15115.497,25.742,480.0,-30.8948,1.8166,0.515238,82.69374
62,68,P0003_L0007_S0018,सैषा गणे॑शवि॒द्या।,237104.0,239792.0,2688.0,224429.798,239792.0,15362.202,246.705,464.0,-32.3201,3.5102,0.5276,75.37728
63,69,P0003_L0007_S0019,गण॑क ऋ॒षिः।,239792.0,242800.0,3008.0,226404.691,242800.0,16395.309,1033.107,528.0,-28.3665,-10.4332,0.445071,60.97668
64,70,P0003_L0007_S0020,निचृद्गाय॑त्रीच्छ॒न्दः।,242800.0,246000.0,3200.0,229453.202,246000.0,16546.798,151.489,480.0,-29.3184,3.9986,0.518112,94.12566
65,71,P0003_L0008_S0021,गणपति॑र्देव॒ता।,246000.0,248144.0,2144.0,231721.741,248144.0,16422.259,-124.539,464.0,-28.889,2.3659,0.496611,70.04328
66,72,P0003_L0008_S0022,ॐ गं ग॒णप॑तये नमः॥,248144.0,251728.0,3584.0,235243.572,251728.0,16484.428,62.169,528.0,-29.7342,3.0384,0.539461,108.739856
67,74,P0003_L0009_S0024,एकद॒न्ताय॑ वि॒द्महे॑ वक्रतु॒ण्डाय॑ धीमहि।,251728.0,255600.0,3872.0,240822.339,255600.0,14777.661,-1706.767,544.0,-27.0996,-10.836,0.441988,172.24971
68,75,P0003_L0009_S0025,तन्नो॑ दन्तिः प्रचो॒दया᳚त्॥,255600.0,259232.0,3632.0,245594.126,259232.0,13637.874,-1139.788,496.0,-28.8565,3.8309,0.522048,147.33345
69,77,P0003_L0010_S0027,एकद॒न्तं च॑तुर्ह॒स्तं॒ पा॒शम॑ङ्कुश॒धारि॑णम्।,259232.0,264800.0,5568.0,251930.311,264800.0,12869.689,-768.185,544.0,-32.2742,2.6226,0.562395,195.6357
70,78,P0003_L0010_S0028,रदं॑ च॒ वर॑दं ह॒स्तै॒र्बि॒भ्राणं॑ मूष॒कध्व॑जम्।,264800.0,269600.0,4800.0,257937.094,269600.0,11662.906,-1206.783,576.0,-29.6021,-7.9474,0.493752,185.4651
71,79,P0003_L0011_S0029,रक्तं ॑ ल॒म्बोद॑रं शू॒र्प॒क॒र्णकं ॑ रक्त॒वास॑सम्।,269600.0,275008.0,5408.0,263690.739,275008.0,11317.261,-345.644,544.0,-30.0898,3.3379,0.55192,177.6492
72,80,P0003_L0011_S0030,रक्त॑ग॒न्धानु॑लिप्ता॒ङ्गं ॒ र॒क्तपु॑ष्पैः सु॒पूजि॑तम्।,275008.0,280880.0,5872.0,270170.082,280880.0,10709.918,-607.343,560.0,-31.0969,3.2751,0.566499,200.05584
73,81,P0003_L0012_S0031,भक्ता॑नु॒कम्पि॑नं दे॒वं॒ ज॒गत्का॑रण॒मच्यु॑तम्।,280880.0,286800.0,5920.0,276776.984,286800.0,10023.016,-686.903,544.0,-27.9146,4.021,0.54126,203.99436
74,82,P0003_L0012_S0032,आवि॑र्भू॒तं च॑ सृ॒ष्ट्या॒दौ॒ प्र॒कृतेः᳚ पुरु॒षात्प॑रम्।,286800.0,293136.0,6336.0,283249.042,293136.0,9886.958,-136.058,592.0,-28.2509,1.0087,0.549088,199.8309
75,83,P0003_L0013_S0033,एवं॑ ध्या॒यति॑ यो नि॒त्यं॒ स॒ योगी॑ योगि॒नां व॑रः॥,293136.0,298800.0,5664.0,291010.792,298800.0,7789.208,-2097.75,560.0,-28.7311,-2.7447,0.512418,239.651353
76,85,P0003_L0014_S0035,नमो व्रातपतये।,298800.0,302000.0,3200.0,293018.452,302000.0,8981.548,1192.34,0.0,-18.1627,-3.2177,0.197179,61.9884
77,86,P0003_L0014_S0036,नमो गणपतये।,302000.0,305744.0,3744.0,294986.352,305744.0,10757.648,1776.099,592.0,-29.9281,3.5702,0.576468,60.7608
78,87,P0003_L0014_S0037,नमः प्रमथपतये।,305744.0,312080.0,6336.0,297191.992,312080.0,14888.008,4130.361,496.0,-28.6554,2.9221,0.514916,68.1012
79,88,P0003_L0015_S0038,नमस्तेऽस्तु लम्बोदरायैकदन्ताय विघ्नविनाशिने शिवसुताय श्रीवरदमूर्तये॒ नमः॑॥,312080.0,329232.0,17152.0,311164.607,329232.0,18067.393,3179.385,576.0,-27.3966,3.6478,0.551629,431.4177
80,90,P0003_L0016_S0040,एतदथर्वशीर्षं॑ योऽधी॒ते।,329232.0,333200.0,3968.0,314731.178,333200.0,18468.822,401.429,0.0,-16.1124,3.1863,0.214365,110.12124
81,91,P0003_L0016_S0041,स ब्रह्मभूया॑य क॒ल्पते।,333200.0,336400.0,3200.0,317800.88,336400.0,18599.12,130.298,528.0,-29.7168,5.6484,0.5557,94.77996
82,92,P0003_L0016_S0042,स सर्वविघ्नै᳚र्न बा॒ध्यते।,336400.0,340880.0,4480.0,320849.164,340880.0,20030.836,1431.716,496.0,-28.1141,5.1137,0.525012,94.11864
83,93,P0003_L0017_S0043,स सर्वतः सुख॑मेध॒ते।,340880.0,344176.0,3296.0,323639.606,344176.0,20536.394,505.558,448.0,-27.4285,3.5182,0.485576,86.15754
84,94,P0003_L0017_S0044,स पञ्चमहापापा᳚त्प्रमु॒च्यते।,344176.0,349200.0,5024.0,327618.701,349200.0,21581.299,1044.905,528.0,-27.365,-7.5247,0.456416,122.85831
85,95,P0003_L0018_S0045,सा॒यम॑धीया॒नो॒ दिवसकृतं पापं॑ नाश॒यति।,349200.0,354800.0,5600.0,333511.027,354800.0,21288.973,-292.326,592.0,-29.971,-2.4916,0.538946,181.93113
86,96,P0003_L0018_S0046,प्रा॒तर॑धीया॒नो॒ रात्रिकृतं पापं॑ नाश॒यति।,354800.0,360432.0,5632.0,339021.089,360432.0,21410.911,121.937,560.0,-29.9378,4.2603,0.56473,170.128395
